iter	RMSE
849	0.2391435697
850	0.2386977907
851	0.2380710381
852	0.2376948749
853	0.2372864069
854	0.2369224857
855	0.2364437162
856	0.2357672223
857	0.2354631844
858	0.2347661559
859	0.2343033942
860	0.2342701971
861	0.2337472405
862	0.2332512139
863	0.232892372
864	0.2326059876
865	0.2322108071
866	0.2314637974
867	0.2311089159
868	0.2309181004
869	0.2308788591
870	0.230476426
871	0.2299980319
872	0.2294179202
873	0.228938918
874	0.2285418991
875	0.2280428187
876	0.2275789669
877	0.2272345691
878	0.2268578946
879	0.2265735097
880	0.2262355499
881	0.2256183971
882	0.2253792716
883	0.2246479004
884	0.2244664551
885	0.2240207907
886	0.223648995
887	0.2231219978
888	0.2228812754
889	0.2224707322
890	0.2217528308
891	0.2214908535
892	0.221415454
893	0.2209371375
894	0.2204971978
895	0.2199027651
896	0.2196013115
897	0.2190105187
898	0.2186165065
899	0.2183050696
900	0.2176330671
901	0.2170667499
902	0.2165894415
903	0.2159121889
904	0.2155390197
905	0.2153122884
906	0.2148575308
907	0.21435043
908	0.2138680658
909	0.2133217768
910	0.2129593768
911	0.2126828867
912	0.2122406901
913	0.2119534793
914	0.2116083021
915	0.2112410753
916	0.2105719643
917	0.2102257558
918	0.2098683018
919	0.2094872305
920	0.2089451676
921	0.2085114209
922	0.2081982537
923	0.2077451146
924	0.2072896185
925	0.2069473692
926	0.2065261711
927	0.2061135986
928	0.2057940544
929	0.205287646
930	0.2048151666
931	0.2042642468
932	0.2037323424
933	0.2035073275
934	0.2032248533
935	0.2028106309
936	0.2025234638
937	0.2021063177
938	0.201602558
939	0.2010755821
940	0.2007239062
941	0.2006690743
942	0.2002471964
943	0.1998882377
944	0.1995579064
945	0.1992370384
946	0.1988260784
947	0.1983699855
948	0.1982712214
949	0.1978210188
950	0.1977985016
951	0.1975035567
952	0.1970379824
953	0.1966626278
954	0.1964287747
955	0.1962556003
956	0.1959020325
957	0.1954348754
958	0.1949320154
959	0.194872663
960	0.1946886111
961	0.1943451393
962	0.1939756223
963	0.1939544486
964	0.1934691579
965	0.1934376823
966	0.1931256462
967	0.193095056
968	0.1927494765
969	0.192352958
970	0.1921108704
971	0.1915829628
972	0.1907563927
973	0.1904384626
974	0.1899528948
975	0.1895833995
976	0.1893613906
977	0.1890323542
978	0.1888403962
979	0.1885665995
980	0.1881743108
981	0.1877663109
982	0.1876892443
983	0.1871064578
984	0.1868077241
985	0.1866148361
986	0.1861932922
987	0.1858024068
988	0.1855090047
989	0.1851830578
990	0.1851536652
991	0.1847539593
992	0.184611043
993	0.1843267109
994	0.1842235474
995	0.1838831075
996	0.1836597317
997	0.1831857275
998	0.1829067957
999	0.1825686492
1834394459
